word,pos,inverted_frequency_score
monuments,NOUN,0.179
filtered,VERB,0.179
replacements,NOUN,0.179
growers,NOUN,0.179
subtitles,NOUN,0.179
adj,ADJ,0.179
haul,VERB,0.179
acupuncture,NOUN,0.179
workload,NOUN,0.179
acknowledgement,NOUN,0.179
highlighting,VERB,0.179
duly,ADV,0.179
roasted,VERB,0.179
tenders,NOUN,0.179
inviting,VERB,0.179
rig,NOUN,0.179
ov,VERB,0.179
gentoo,VERB,0.179
redevelopment,NOUN,0.179
mustard,NOUN,0.179
strait,ADJ,0.179
masterpiece,NOUN,0.179
obey,VERB,0.179
cellphone,NOUN,0.179
donkey,NOUN,0.179
sax,NOUN,0.179
jacks,NOUN,0.179
conceived,VERB,0.179
triggered,VERB,0.179
boasts,VERB,0.179
praying,VERB,0.179
multiply,VERB,0.179
intercourse,NOUN,0.179
radial,ADJ,0.179
mare,NOUN,0.179
routinely,ADV,0.179
instructed,VERB,0.179
stole,VERB,0.179
summarized,VERB,0.179
avalanche,NOUN,0.179
uploading,VERB,0.179
manuscripts,NOUN,0.179
managerial,ADJ,0.179
exhibited,VERB,0.179
disciples,NOUN,0.179
shaving,VERB,0.179
wks,NOUN,0.18
bishops,NOUN,0.18
destroying,VERB,0.18
humorous,ADJ,0.18
tonnes,NOUN,0.18
hypermail,NOUN,0.18
heap,NOUN,0.18
investigative,ADJ,0.18
bylaws,NOUN,0.18
erection,NOUN,0.18
wmv,VERB,0.18
energetic,ADJ,0.18
disturbance,NOUN,0.18
ribbons,NOUN,0.18
facesitting,VERB,0.18
exile,NOUN,0.18
breastfeeding,VERB,0.18
bilder,NOUN,0.18
reside,VERB,0.18
cashier,NOUN,0.18
jaw,NOUN,0.18
butterflies,NOUN,0.18
eats,VERB,0.18
randomized,VERB,0.18
knots,NOUN,0.18
flea,NOUN,0.18
motivational,NOUN,0.18
offences,NOUN,0.18
pals,NOUN,0.18
celebrates,VERB,0.18
hail,VERB,0.18
armenian,ADJ,0.18
longitudinal,ADJ,0.18
historians,NOUN,0.18
realities,NOUN,0.18
mentions,VERB,0.18
neuroscience,NOUN,0.18
blender,NOUN,0.18
jumps,VERB,0.18
blaster,NOUN,0.18
optimistic,ADJ,0.18
remediation,NOUN,0.18
wasting,VERB,0.18
decoder,NOUN,0.18
genocide,NOUN,0.18
acclaimed,VERB,0.18
seldom,ADV,0.18
morrow,NOUN,0.18
glitter,NOUN,0.18
sidebar,NOUN,0.18
authored,VERB,0.18
lasted,VERB,0.18
snoop,NOUN,0.18
awhile,ADV,0.18
winery,NOUN,0.18
rbi,NOUN,0.18
scaled,VERB,0.18
contingency,NOUN,0.18
photon,NOUN,0.18
vague,ADJ,0.18
overlay,NOUN,0.18
wraps,VERB,0.18
constituents,NOUN,0.18
rusty,ADJ,0.18
pharma,NOUN,0.181
herd,NOUN,0.181
handicapped,VERB,0.181
exported,VERB,0.181
lag,VERB,0.181
champaign,NOUN,0.181
warns,VERB,0.181
fyi,INTJ,0.181
pakistani,ADJ,0.181
harmless,ADJ,0.181
ics,NOUN,0.181
bitches,NOUN,0.181
sting,NOUN,0.181
believers,NOUN,0.181
diagnose,VERB,0.181
announcing,VERB,0.181
dispersion,NOUN,0.181
curiosity,NOUN,0.181
amature,NOUN,0.181
showroom,NOUN,0.181
cx,NOUN,0.181
resting,VERB,0.181
missiles,NOUN,0.181
persistence,NOUN,0.181
coarse,VERB,0.181
continents,NOUN,0.181
liter,NOUN,0.181
carpets,NOUN,0.181
recovering,VERB,0.181
submarine,NOUN,0.181
blessings,NOUN,0.181
prevailing,VERB,0.181
originated,VERB,0.181
axe,NOUN,0.181
sculptures,NOUN,0.181
intrinsic,ADJ,0.181
classicvacations,NOUN,0.181
thoughtful,ADJ,0.181
nicht,NOUN,0.181
nominees,NOUN,0.181
warmer,ADJ,0.181
cuz,ADP,0.181
dryers,NOUN,0.181
calf,NOUN,0.181
basil,NOUN,0.181
hallmark,NOUN,0.181
counterparts,NOUN,0.181
paced,VERB,0.181
grouped,VERB,0.181
dominate,VERB,0.181
orient,VERB,0.181
damaging,VERB,0.181
populated,ADJ,0.181
boiling,VERB,0.181
journeys,NOUN,0.181
milestones,NOUN,0.181
parsing,VERB,0.181
splitting,VERB,0.181
checkboxes,NOUN,0.181
abandon,VERB,0.181
lobbying,VERB,0.181
rave,VERB,0.181
dy,NOUN,0.181
cigars,NOUN,0.182
cinemas,NOUN,0.182
islander,NOUN,0.182
encoder,NOUN,0.182
inference,NOUN,0.182
recalled,VERB,0.182
importers,NOUN,0.182
impressum,NOUN,0.182
transformer,VERB,0.182
declarations,NOUN,0.182
rib,NOUN,0.182
phe,NOUN,0.182
drafts,NOUN,0.182
excursions,NOUN,0.182
jerk,VERB,0.182
shack,VERB,0.182
ers,NOUN,0.182
marrow,NOUN,0.182
licences,NOUN,0.182
bose,NOUN,0.182
tavern,NOUN,0.182
bathing,VERB,0.182
epilepsy,NOUN,0.182
allowances,NOUN,0.182
fountains,NOUN,0.182
goggles,NOUN,0.182
ses,VERB,0.182
unhappy,ADJ,0.182
clones,NOUN,0.182
foregoing,VERB,0.182
crossover,NOUN,0.182
situ,NOUN,0.182
specificity,NOUN,0.182
certainty,NOUN,0.182
sleek,ADJ,0.182
runoff,NOUN,0.182
osteoporosis,NOUN,0.182
approvals,NOUN,0.182
antarctic,ADJ,0.182
ord,NOUN,0.182
successive,ADJ,0.182
neglected,VERB,0.182
bea,ADJ,0.182
cafes,NOUN,0.182
jukebox,NOUN,0.182
classmates,NOUN,0.182
hitch,VERB,0.182
fracture,NOUN,0.182
ama,NOUN,0.182
nexus,NOUN,0.182
cancers,NOUN,0.182
foremost,ADV,0.182
nineteenth,NOUN,0.182
melting,VERB,0.182
mahogany,NOUN,0.182
actresses,NOUN,0.182
garner,VERB,0.182
buster,NOUN,0.182
moderated,VERB,0.182
flap,NOUN,0.182
ignorant,ADJ,0.182
allowable,ADJ,0.182
karate,NOUN,0.182
compositions,NOUN,0.182
sings,VERB,0.183
sorrow,NOUN,0.183
carte,NOUN,0.183
canned,VERB,0.183
collects,VERB,0.183
treaties,NOUN,0.183
endurance,NOUN,0.183
optimizing,VERB,0.183
teaspoon,NOUN,0.183
coldplay,NOUN,0.183
insulated,VERB,0.183
philosopher,NOUN,0.183
rectangle,VERB,0.183
woo,VERB,0.183
queer,ADJ,0.183
pains,NOUN,0.183
wrapper,NOUN,0.183
tty,NOUN,0.183
drummer,NOUN,0.183
guitarist,NOUN,0.183
symmetric,ADJ,0.183
ceremonies,NOUN,0.183
satisfies,VERB,0.183
appellate,NOUN,0.183
comma,NOUN,0.183
geeks,NOUN,0.183
conformity,NOUN,0.183
repec,ADV,0.183
insightful,ADJ,0.183
supper,NOUN,0.183
fulfilling,VERB,0.183
hooded,ADJ,0.183
unrated,VERB,0.183
diva,NOUN,0.183
instability,NOUN,0.183
seminary,NOUN,0.183
exemptions,NOUN,0.183
integrates,VERB,0.183
presenter,NOUN,0.183
offenses,NOUN,0.183
emulation,NOUN,0.183
lengthy,ADJ,0.183
fortress,NOUN,0.183
contiguous,ADJ,0.183
bookstores,NOUN,0.183
inaccurate,ADJ,0.183
explanatory,ADJ,0.183
settlers,NOUN,0.183
stools,NOUN,0.183
ministerial,ADJ,0.183
agendas,NOUN,0.183
publishes,VERB,0.183
stacks,NOUN,0.183
owning,VERB,0.183
andersen,NOUN,0.183
bipolar,ADJ,0.183
sermon,VERB,0.183
facilitating,VERB,0.183
complained,VERB,0.183
taps,VERB,0.183
thrill,NOUN,0.183
lagoon,NOUN,0.183
undoubtedly,ADV,0.183
inbound,ADJ,0.184
withheld,VERB,0.184
insisted,VERB,0.184
shortlist,VERB,0.184
tiava,NOUN,0.184
eclectic,ADJ,0.184
reluctant,ADJ,0.184
headphone,NOUN,0.184
regimes,NOUN,0.184
headaches,NOUN,0.184
oath,VERB,0.184
pigeon,NOUN,0.184
rivals,NOUN,0.184
freed,VERB,0.184
binder,NOUN,0.184
xemacs,NOUN,0.184
constrained,VERB,0.184
parrot,NOUN,0.184
invoked,VERB,0.184
invaluable,ADJ,0.184
helicopters,NOUN,0.184
keystone,NOUN,0.184
inclined,ADJ,0.184
gala,NOUN,0.184
intercontinental,ADJ,0.184
cheek,NOUN,0.184
traction,NOUN,0.184
utterly,ADV,0.184
workspace,NOUN,0.184
customizable,ADJ,0.184
illuminated,ADJ,0.184
realtime,VERB,0.184
lasts,VERB,0.184
electrons,NOUN,0.184
psychologist,NOUN,0.184
perpetual,ADJ,0.184
subsystem,NOUN,0.184
appl,NOUN,0.184
kinetic,ADJ,0.184
caffeine,NOUN,0.184
clustering,VERB,0.184
glimpse,VERB,0.184
nib,NOUN,0.184
verbatim,ADV,0.184
innocence,NOUN,0.184
httpd,NOUN,0.184
quicker,ADJ,0.184
grandparents,NOUN,0.184
cardboard,NOUN,0.184
attributable,ADJ,0.184
sketches,NOUN,0.184
tertiary,ADJ,0.184
exhausted,ADJ,0.184
smarter,ADJ,0.184
slac,ADJ,0.184
shelters,NOUN,0.184
attain,VERB,0.184
calorie,NOUN,0.184
inconvenience,VERB,0.184
vaccination,NOUN,0.184
stroller,NOUN,0.184
farther,ADV,0.184
bowel,NOUN,0.184
sweaters,NOUN,0.184
chats,NOUN,0.185
mafia,NOUN,0.185
riot,VERB,0.185
fats,NOUN,0.185
predictable,ADJ,0.185
shire,NOUN,0.185
susceptible,ADJ,0.185
mosquito,NOUN,0.185
insest,ADJ,0.185
skyline,NOUN,0.185
sulfur,NOUN,0.185
scams,NOUN,0.185
corpse,NOUN,0.185
speedy,ADJ,0.185
networked,ADJ,0.185
localhost,VERB,0.185
lush,ADJ,0.185
barrels,NOUN,0.185
transformations,NOUN,0.185
cabling,VERB,0.185
analogue,NOUN,0.185
stills,VERB,0.185
perimeter,NOUN,0.185
biased,ADJ,0.185
cardiology,NOUN,0.185
playoff,NOUN,0.185
brewer,NOUN,0.185
exchanged,VERB,0.185
payload,NOUN,0.185
adhere,VERB,0.185
grilled,VERB,0.185
enquire,VERB,0.185
toilets,NOUN,0.185
mains,NOUN,0.185
whales,NOUN,0.185
parity,NOUN,0.185
partitions,NOUN,0.185
grim,ADJ,0.185
conserved,VERB,0.185
searchsearch,VERB,0.185
rewrite,VERB,0.185
vending,VERB,0.185
prism,NOUN,0.185
chasing,VERB,0.185
flop,NOUN,0.185
aggregation,NOUN,0.185
batting,NOUN,0.185
borrowed,VERB,0.185
heh,INTJ,0.185
transexuals,NOUN,0.185
rests,VERB,0.185
toss,VERB,0.185
prentice,NOUN,0.185
depicted,VERB,0.185
grapes,NOUN,0.185
proposing,VERB,0.185
winding,VERB,0.185
ripped,VERB,0.185
vegan,NOUN,0.185
cobalt,NOUN,0.185
pity,NOUN,0.185
recombinant,ADJ,0.185
downward,ADV,0.185
superstar,NOUN,0.186
closeout,NOUN,0.186
corel,VERB,0.186
kayaking,VERB,0.186
synergy,NOUN,0.186
catalogues,NOUN,0.186
aspire,VERB,0.186
harvesting,VERB,0.186
groom,VERB,0.186
jewels,NOUN,0.186
saturated,ADJ,0.186
backpacking,NOUN,0.186
accidentally,ADV,0.186
doughty,ADJ,0.186
bonded,VERB,0.186
sticking,VERB,0.186
weeds,NOUN,0.186
stripped,VERB,0.186
inflatable,ADJ,0.186
beers,NOUN,0.186
fixture,NOUN,0.186
glassware,NOUN,0.186
canary,NOUN,0.186
steadily,ADV,0.186
imagined,VERB,0.186
woke,VERB,0.186
fills,VERB,0.186
proportions,NOUN,0.186
grips,NOUN,0.186
clergy,VERB,0.186
coursework,NOUN,0.186
solicitors,NOUN,0.186
kayak,NOUN,0.186
moderately,ADV,0.186
altar,NOUN,0.186
salvage,NOUN,0.186
repetitive,ADJ,0.186
creators,NOUN,0.186
gears,NOUN,0.186
orbital,ADJ,0.186
musicals,NOUN,0.186
kilometres,NOUN,0.186
cuff,NOUN,0.186
lithuanian,ADJ,0.186
repeating,VERB,0.186
empires,NOUN,0.186
profiling,NOUN,0.186
reps,NOUN,0.186
hn,VERB,0.186
oyster,NOUN,0.186
sturdy,ADJ,0.186
sequencing,NOUN,0.186
massacre,NOUN,0.186
undergo,VERB,0.186
panoramic,ADJ,0.186
risen,VERB,0.186
blended,VERB,0.186
rhino,NOUN,0.186
polynomial,ADJ,0.186
imperative,ADJ,0.186
stakeholder,NOUN,0.186
beg,VERB,0.186
digging,VERB,0.186
lantern,NOUN,0.186
catches,VERB,0.187
evangelical,ADJ,0.187
ruler,NOUN,0.187
signifies,VERB,0.187
stochastic,ADJ,0.187
tokens,NOUN,0.187
kidding,VERB,0.187
piping,VERB,0.187
swept,VERB,0.187
airmail,NOUN,0.187
staring,VERB,0.187
problematic,ADJ,0.187
troop,NOUN,0.187
arose,VERB,0.187
decomposition,NOUN,0.187
roadmap,NOUN,0.187
ogg,VERB,0.187
elders,NOUN,0.187
interpreters,NOUN,0.187
supporter,NOUN,0.187
acknowledgements,NOUN,0.187
skincare,NOUN,0.187
conquest,NOUN,0.187
repairing,VERB,0.187
mandated,VERB,0.187
workbook,VERB,0.187
assemble,VERB,0.187
whistle,NOUN,0.187
sulfate,NOUN,0.187
timeshare,NOUN,0.187
diversified,ADJ,0.187
oldies,NOUN,0.187
fertilizer,NOUN,0.187
complaining,VERB,0.187
analytic,ADJ,0.187
predominantly,ADV,0.187
amethyst,NOUN,0.187
rewritten,VERB,0.187
cdrom,VERB,0.187
concerto,NOUN,0.187
adorable,ADJ,0.187
ambition,NOUN,0.187
apologize,VERB,0.187
cle,NOUN,0.187
restraint,NOUN,0.187
thrillers,NOUN,0.187
fortran,ADJ,0.187
condemned,VERB,0.187
timeless,ADJ,0.187
spouses,NOUN,0.187
slips,VERB,0.187
vv,NOUN,0.187
tyr,VERB,0.187
trays,NOUN,0.187
stewardship,NOUN,0.187
cues,NOUN,0.187
bioinformatics,NOUN,0.187
kisses,NOUN,0.187
regulating,VERB,0.187
flock,VERB,0.187
exporting,VERB,0.187
arabian,ADJ,0.187
chung,VERB,0.187
subpart,NOUN,0.188
scheduler,NOUN,0.188
bending,VERB,0.188
hypnosis,NOUN,0.188
ammunition,NOUN,0.188
pleasures,NOUN,0.188
shortest,ADJ,0.188
denying,VERB,0.188
cornerstone,NOUN,0.188
recycle,VERB,0.188
shave,VERB,0.188
disruption,NOUN,0.188
colt,NOUN,0.188
artillery,NOUN,0.188
furnish,VERB,0.188
precedence,NOUN,0.188
applicability,NOUN,0.188
volatility,NOUN,0.188
grinding,VERB,0.188
rubbish,VERB,0.188
missionary,NOUN,0.188
knocked,VERB,0.188
swamp,NOUN,0.188
uid,ADJ,0.188
pitching,VERB,0.188
hoteles,NOUN,0.188
manifold,ADJ,0.188
tornado,NOUN,0.188
gdb,VERB,0.188
possessed,VERB,0.188
upstairs,ADV,0.188
bro,NOUN,0.188
turtles,NOUN,0.188
offs,NOUN,0.188
listserv,VERB,0.188
fab,ADJ,0.188
vauxhall,NOUN,0.188
cond,NOUN,0.188
welcoming,VERB,0.188
learns,VERB,0.188
manipulate,VERB,0.188
dividing,VERB,0.188
hickory,NOUN,0.188
renovated,VERB,0.188
inmates,NOUN,0.188
conformance,NOUN,0.188
slices,NOUN,0.188
diecast,NOUN,0.188
bittorrent,NOUN,0.188
cody,NOUN,0.188
quo,NOUN,0.188
iu,ADP,0.188
vf,ADJ,0.188
damned,VERB,0.188
faint,ADJ,0.188
rebuilt,VERB,0.188
proceeded,VERB,0.188
collaborate,VERB,0.188
tentative,ADJ,0.188
fierce,ADJ,0.188
jars,NOUN,0.188
authenticity,NOUN,0.188
hips,NOUN,0.188
gland,NOUN,0.188
positives,NOUN,0.189
wigs,NOUN,0.189
resignation,NOUN,0.189
striped,VERB,0.189
blends,VERB,0.189
garments,NOUN,0.189
fraternity,NOUN,0.189
hunk,NOUN,0.189
allocations,NOUN,0.189
lymphoma,NOUN,0.189
tapestry,NOUN,0.189
originating,VERB,0.189
chap,NOUN,0.189
blows,VERB,0.189
inevitably,ADV,0.189
rpc,NOUN,0.189
freebies,NOUN,0.189
converse,VERB,0.189
frontline,NOUN,0.189
thb,VERB,0.189
gardener,NOUN,0.189
imap,VERB,0.189
polymers,NOUN,0.189
penguins,NOUN,0.189
attracting,VERB,0.189
grills,NOUN,0.189
escrow,NOUN,0.189
anthem,NOUN,0.189
tack,VERB,0.189
nowadays,ADV,0.189
infospace,NOUN,0.189
sack,VERB,0.189
inferior,ADJ,0.189
surfers,NOUN,0.189
abuses,NOUN,0.189
inspected,VERB,0.189
jockey,NOUN,0.189
licensors,NOUN,0.189
indicative,ADJ,0.189
stresses,VERB,0.189
incumbent,NOUN,0.189
webhosting,VERB,0.189
upholstery,NOUN,0.189
aggression,NOUN,0.189
peek,VERB,0.189
alr,ADV,0.189
practiced,VERB,0.189
casualties,NOUN,0.189
sudoku,NOUN,0.189
monarch,NOUN,0.189
undef,VERB,0.189
housed,VERB,0.189
administering,VERB,0.189
temptation,NOUN,0.189
campground,NOUN,0.189
nasal,ADJ,0.189
restrictive,ADJ,0.189
costing,VERB,0.189
ranged,VERB,0.189
predictive,ADJ,0.189
aquaculture,NOUN,0.189
hier,VERB,0.189
spruce,VERB,0.189
paradox,NOUN,0.19
sendmail,VERB,0.19
redesign,VERB,0.19
billings,NOUN,0.19
nitro,NOUN,0.19
oxidation,NOUN,0.19
jackpot,NOUN,0.19
halfway,ADV,0.19
entitlement,NOUN,0.19
amending,VERB,0.19
conflicting,VERB,0.19
compensate,VERB,0.19
recherche,VERB,0.19
loser,NOUN,0.19
secs,NOUN,0.19
mixers,NOUN,0.19
accountancy,NOUN,0.19
claus,NOUN,0.19
policing,VERB,0.19
braves,NOUN,0.19
cracking,VERB,0.19
sued,VERB,0.19
shoots,VERB,0.19
interrupted,VERB,0.19
hemisphere,NOUN,0.19
miranda,NOUN,0.19
clover,NOUN,0.19
kindness,NOUN,0.19
similarities,NOUN,0.19
neutron,NOUN,0.19
directs,VERB,0.19
snakes,NOUN,0.19
swelling,VERB,0.19
spanning,VERB,0.19
politician,NOUN,0.19
unanimous,ADJ,0.19
railways,NOUN,0.19
approves,VERB,0.19
scriptures,NOUN,0.19
misconduct,NOUN,0.19
folklore,NOUN,0.19
resides,VERB,0.19
wording,VERB,0.19
obliged,VERB,0.19
perceive,VERB,0.19
siege,NOUN,0.19
dimm,NOUN,0.19
exercising,VERB,0.19
acoustics,NOUN,0.19
voluntarily,ADV,0.19
condominium,NOUN,0.19
wildcats,NOUN,0.19
exhibitors,NOUN,0.19
truths,NOUN,0.19
grouping,VERB,0.19
redwood,NOUN,0.19
thereto,VERB,0.19
invoices,NOUN,0.19
tyres,NOUN,0.19
authorizing,VERB,0.19
gly,ADV,0.19
radiant,ADJ,0.19
estonian,ADJ,0.19
virgins,NOUN,0.19
firstly,ADV,0.191
martini,NOUN,0.191
bomber,NOUN,0.191
songwriter,NOUN,0.191
suspicion,NOUN,0.191
disadvantage,NOUN,0.191
bastard,NOUN,0.191
coaster,NOUN,0.191
spends,VERB,0.191
hicks,NOUN,0.191
typedef,VERB,0.191
pedigree,NOUN,0.191
strippers,NOUN,0.191
fraudulent,ADJ,0.191
aac,NOUN,0.191
woodworking,NOUN,0.191
forgiveness,NOUN,0.191
cbd,NOUN,0.191
almond,NOUN,0.191
catalytic,ADJ,0.191
petitions,NOUN,0.191
chalk,VERB,0.191
privatization,NOUN,0.191
sourceforge,NOUN,0.191
axle,NOUN,0.191
membranes,NOUN,0.191
puppet,NOUN,0.191
testosterone,NOUN,0.191
cultivation,NOUN,0.191
surveying,VERB,0.191
grazing,VERB,0.191
biochemical,ADJ,0.191
pillar,NOUN,0.191
questionable,ADJ,0.191
seaside,NOUN,0.191
suitability,NOUN,0.191
precinct,NOUN,0.191
renamed,VERB,0.191
unbelievable,ADJ,0.191
soluble,ADJ,0.191
piracy,NOUN,0.191
rowing,VERB,0.191
siding,VERB,0.191
kx,NOUN,0.191
hardest,ADV,0.191
invitational,NOUN,0.191
reminders,NOUN,0.191
equivalents,NOUN,0.191
handcrafted,ADJ,0.191
aftermarket,NOUN,0.191
pineapple,NOUN,0.191
fellowships,NOUN,0.191
freeway,NOUN,0.191
wrath,NOUN,0.191
opal,NOUN,0.191
simplest,ADJ,0.191
patrons,NOUN,0.191
peculiar,ADJ,0.191
toon,NOUN,0.191
europeans,NOUN,0.191
commence,VERB,0.191
descendants,NOUN,0.191
safeguard,VERB,0.191
digitally,ADV,0.192
obsession,NOUN,0.192
grind,VERB,0.192
albeit,SCONJ,0.192
billiards,NOUN,0.192
bankers,NOUN,0.192
righteous,ADJ,0.192
eo,NOUN,0.192
redistribution,NOUN,0.192
freaks,NOUN,0.192
subclass,VERB,0.192
sampled,VERB,0.192
sincere,ADJ,0.192
deploying,VERB,0.192
interacting,VERB,0.192
intentionally,ADV,0.192
tended,VERB,0.192
censorship,NOUN,0.192
cactus,NOUN,0.192
treadmill,NOUN,0.192
fiberglass,NOUN,0.192
attained,VERB,0.192
blew,VERB,0.192
nap,VERB,0.192
splendid,ADJ,0.192
personalize,VERB,0.192
lava,NOUN,0.192
sucked,VERB,0.192
scissors,NOUN,0.192
cooks,NOUN,0.192
sharply,ADV,0.192
rebellion,NOUN,0.192
rainy,ADJ,0.192
tho,NOUN,0.192
regent,NOUN,0.192
vinegar,NOUN,0.192
vie,NOUN,0.192
classifications,NOUN,0.192
diggs,NOUN,0.192
rafting,NOUN,0.192
vail,NOUN,0.192
fisherman,NOUN,0.192
misery,NOUN,0.192
undergoing,VERB,0.192
contaminants,NOUN,0.192
envy,NOUN,0.192
scr,VERB,0.192
sweeping,VERB,0.192
healthier,ADJ,0.192
mailer,NOUN,0.192
preface,NOUN,0.192
grievance,NOUN,0.192
liners,NOUN,0.192
unread,ADJ,0.192
sentiment,NOUN,0.192
pencils,NOUN,0.192
forged,VERB,0.192
bistro,NOUN,0.192
voodoo,NOUN,0.192
disclosures,NOUN,0.192
provence,NOUN,0.192
caching,VERB,0.192
computerized,VERB,0.192
rustic,ADJ,0.192
rumor,NOUN,0.193
shah,NOUN,0.193
deception,NOUN,0.193
volts,NOUN,0.193
conducts,VERB,0.193
divorced,VERB,0.193
rushed,VERB,0.193
bots,NOUN,0.193
weighs,VERB,0.193
magnolia,NOUN,0.193
diver,NOUN,0.193
disappointment,NOUN,0.193
castles,NOUN,0.193
notions,NOUN,0.193
plateau,NOUN,0.193
interpersonal,ADJ,0.193
traumatic,ADJ,0.193
ringer,NOUN,0.193
zipper,NOUN,0.193
meds,NOUN,0.193
palette,NOUN,0.193
blaze,VERB,0.193
wreck,NOUN,0.193
threatens,VERB,0.193
strengthened,VERB,0.193
briefings,NOUN,0.193
siblings,NOUN,0.193
adversely,ADV,0.193
devastating,VERB,0.193
pdb,NOUN,0.193
bild,VERB,0.193
onboard,NOUN,0.193
robbery,NOUN,0.193
eine,VERB,0.193
nucleic,ADJ,0.193
telecoms,NOUN,0.193
crochet,NOUN,0.193
crowds,NOUN,0.193
hoops,NOUN,0.193
hehe,INTJ,0.193
celeron,VERB,0.193
invariant,ADJ,0.193
stamped,VERB,0.193
challenger,NOUN,0.193
increment,NOUN,0.193
redistributed,VERB,0.193
uptake,NOUN,0.193
geared,VERB,0.193
ideals,NOUN,0.193
ape,NOUN,0.193
gee,INTJ,0.193
apologies,NOUN,0.193
tycoon,NOUN,0.193
malignant,ADJ,0.193
dismiss,VERB,0.193
preceded,VERB,0.193
lawful,ADJ,0.193
stag,NOUN,0.193
rash,ADJ,0.193
ors,NOUN,0.193
gateways,NOUN,0.193
collapsed,VERB,0.193
antibiotic,ADJ,0.193
horns,NOUN,0.194
cps,NOUN,0.194
diversion,NOUN,0.194
overweight,ADJ,0.194
fantasies,NOUN,0.194
metasearch,NOUN,0.194
trekking,VERB,0.194
coordinators,NOUN,0.194
beginnings,NOUN,0.194
reversal,NOUN,0.194
shoreline,NOUN,0.194
presses,VERB,0.194
ordination,NOUN,0.194
middleware,NOUN,0.194
boil,VERB,0.194
deliberate,VERB,0.194
gagged,VERB,0.194
surprises,NOUN,0.194
dementia,NOUN,0.194
barley,NOUN,0.194
potent,ADJ,0.194
vo,NOUN,0.194
amusing,ADJ,0.194
mastering,VERB,0.194
nerves,NOUN,0.194
ripencc,NOUN,0.194
shoppy,ADJ,0.194
filesystem,NOUN,0.194
retains,VERB,0.194
docking,NOUN,0.194
guidebook,NOUN,0.194
pilates,NOUN,0.194
chimney,NOUN,0.194
packers,NOUN,0.194
localized,VERB,0.194
proverbs,NOUN,0.194
lic,NOUN,0.194
risky,ADJ,0.194
mistaken,ADJ,0.194
carving,VERB,0.194
miracles,NOUN,0.194
docume,NOUN,0.194
fte,NOUN,0.194
slipped,VERB,0.194
realism,NOUN,0.194
fractions,NOUN,0.194
archiving,VERB,0.194
disconnect,VERB,0.194
bloodhound,NOUN,0.194
multilingual,ADJ,0.194
desperately,ADV,0.194
indies,NOUN,0.194
tulip,NOUN,0.194
remedial,VERB,0.194
vain,VERB,0.194
immunization,NOUN,0.194
bologna,NOUN,0.194
departing,VERB,0.194
maze,NOUN,0.194
cumming,VERB,0.194
barefoot,NOUN,0.194
remuneration,NOUN,0.194
bohemian,ADJ,0.194
interviewing,VERB,0.194
categorized,VERB,0.195
imposing,VERB,0.195
tivoli,NOUN,0.195
transmissions,NOUN,0.195
receivable,NOUN,0.195
rode,VERB,0.195
amen,INTJ,0.195
marching,VERB,0.195
evacuation,NOUN,0.195
owing,VERB,0.195
warp,VERB,0.195
implant,NOUN,0.195
playlists,NOUN,0.195
thematic,ADJ,0.195
imo,ADV,0.195
correctional,NOUN,0.195
faculties,NOUN,0.195
denies,VERB,0.195
buffers,NOUN,0.195
talkback,NOUN,0.195
servings,NOUN,0.195
reinforce,VERB,0.195
inception,NOUN,0.195
draper,NOUN,0.195
frustrating,ADJ,0.195
subversion,NOUN,0.195
spires,NOUN,0.195
barney,NOUN,0.195
sclerosis,NOUN,0.195
homosexuality,VERB,0.195
declares,VERB,0.195
emotionally,ADV,0.195
masonry,NOUN,0.195
carbohydrate,NOUN,0.195
medicinal,ADJ,0.195
estrogen,NOUN,0.195
odbc,NOUN,0.195
ipods,NOUN,0.195
accrued,VERB,0.195
temples,NOUN,0.195
realizing,VERB,0.195
annum,ADP,0.195
cemeteries,NOUN,0.195
indoors,NOUN,0.195
telescopes,NOUN,0.195
champs,NOUN,0.195
federated,VERB,0.195
averaging,VERB,0.195
salads,NOUN,0.195
addicted,VERB,0.195
shui,NOUN,0.195
flashlight,NOUN,0.195
disappointing,ADJ,0.195
staging,VERB,0.195
unlocked,VERB,0.195
scarce,ADJ,0.195
statistic,NOUN,0.195
ropes,NOUN,0.195
spiders,NOUN,0.195
obedience,NOUN,0.195
plague,NOUN,0.195
diluted,VERB,0.195
canine,NOUN,0.195
gladly,ADV,0.196
brewery,NOUN,0.196
lineage,NOUN,0.196
mehr,VERB,0.196
brew,NOUN,0.196
coup,NOUN,0.196
dominance,NOUN,0.196
predators,NOUN,0.196
cords,NOUN,0.196
mpi,NOUN,0.196
revisited,VERB,0.196
sealing,VERB,0.196
topped,VERB,0.196
adhesives,NOUN,0.196
rag,NOUN,0.196
despair,NOUN,0.196
inventories,NOUN,0.196
fore,NOUN,0.196
uf,NOUN,0.196
absorb,VERB,0.196
injected,VERB,0.196
commodore,NOUN,0.196
dumping,VERB,0.196
enlisted,VERB,0.196
prophets,NOUN,0.196
ow,VERB,0.196
econ,NOUN,0.196
footjob,NOUN,0.196
warez,NOUN,0.196
supernatural,ADJ,0.196
overlooked,VERB,0.196
magenta,ADJ,0.196
tagging,NOUN,0.196
ditch,VERB,0.196
feared,VERB,0.196
prelude,NOUN,0.196
slick,ADJ,0.196
overly,ADV,0.196
limestone,NOUN,0.196
triggers,NOUN,0.196
